Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
"531Willy CaballeroChelsea, 40, GK","Willy Caballero Chelsea, 40, GK",1,90,-,-,-,-,-,-,-,-,5.41,-,-,-,-,-,-,-,-,-,-,24,91.7,-,2,-
"532Kayne RamsaySouthampton, 21, D(R)","Kayne Ramsay Southampton, 21, D(R)",1,90,5,-,1,1,3,-,-,-,5.06,-,-,-,-,-,-,-,-,-,-,19,78.9,-,-,-
"521AdriánLiverpool, 35, GK","Adrián Liverpool, 35, GK",3,270,-,-,-,-,2,-,-,-,5.9,-,-,-,-,-,-,-,-,-,-,26.7,75,-,3.3,-
"522Tyrese FrancoisFulham, 21, Midfielder","Tyrese Francois Fulham, 21, Midfielder",0(1),14,-,-,-,-,-,-,-,-,5.89,-,-,-,-,-,-,-,-,-,-,13.0,92.3,-,-,-
"523Theo WalcottEverton, 33, M(CLR),FW","Theo Walcott Everton, 33, M(CLR),FW",0(1),12,-,-,-,-,-,-,-,-,5.87,-,-,-,-,-,-,-,1,-,-,1.0,100,-,-,-
"524Neil TaylorAston Villa, 33, D(L),M(L)","Neil Taylor Aston Villa, 33, D(L),M(L)",0(1),16,1,-,1,-,-,-,-,-,5.85,-,-,-,-,-,-,-,-,-,-,9.0,100,-,-,-
"525Jake VokinsSouthampton, 22, D(L)","Jake Vokins Southampton, 22, D(L)",1,66,-,-,2,-,-,1,-,-,5.83,-,-,-,1,-,1,-,-,-,1,13.0,84.6,1,-,-
"526Will NorrisBurnley, 28, GK","Will Norris Burnley, 28, GK",2,180,-,-,-,-,0.5,-,-,-,5.78,-,-,-,0.5,-,-,-,-,-,0.5,28.0,46.4,-,10.5,-
"527Bailey Peacock-FarrellBurnley, 25, GK","Bailey Peacock-Farrell Burnley, 25, GK",4,360,-,-,-,-,0.3,-,-,-,5.77,-,-,-,-,0.3,-,-,-,-,-,26.5,50,-,10.8,-
"528Allan TchaptchetSouthampton, 20, Defender","Allan Tchaptchet Southampton, 20, Defender",0(1),12,-,-,-,-,-,-,-,-,5.74,-,-,-,-,-,-,-,1,-,-,1.0,-,-,-,-
"529Odion IghaloMan Utd, 32, AM(C),FW","Odion Ighalo Man Utd, 32, AM(C),FW",0(1),9,-,-,-,-,-,1,-,-,5.74,-,-,-,-,-,-,2,1,-,-,2.0,100,-,-,-
"530Alexandre JankewitzSouthampton, 20, Midfielder","Alexandre Jankewitz Southampton, 20, Midfielder",1(1),3,1,-,0.5,-,-,-,-,-,5.68,-,-,-,-,0.5,-,-,0.5,-,-,1.5,66.7,-,-,-
"511Michael ObafemiSouthampton, 21, FW","Michael Obafemi Southampton, 21, FW",0(4),57,0.3,-,0.3,-,-,0.3,-,-,5.98,-,-,-,0.3,0.8,-,0.5,0.3,-,0.3,3.0,100,-,-,-
"512Wesley MoraesAston Villa, 25, FW","Wesley Moraes Aston Villa, 25, FW",0(3),15,-,-,-,-,-,0.3,-,-,5.96,-,-,0.3,-,0.3,-,-,0.3,-,-,1.3,100,-,-,-
"513Patrick CutroneWolves, 24, FW","Patrick Cutrone Wolves, 24, FW",0(2),23,-,-,-,-,-,-,-,-,5.96,-,-,0.5,-,0.5,-,-,0.5,-,-,1.0,-,-,-,-
"514Konstantinos TsimikasLiverpool, 26, D(L)","Konstantinos Tsimikas Liverpool, 26, D(L)",0(2),6,-,-,0.5,-,-,-,-,-,5.96,-,-,-,-,-,-,-,0.5,-,-,2.5,80,-,-,-
"515Aboubakar KamaraFulham, 27, AM(R),FW","Aboubakar Kamara Fulham, 27, AM(R),FW",2(9),310,0.2,0.1,0.8,-,-,0.5,-,-,5.95,-,-,0.4,0.5,0.3,-,0.7,1.2,-,0.5,10.2,75.9,0.1,0.4,-
"516Josh BensonBurnley, 22, DMC","Josh Benson Burnley, 22, DMC",2(4),261,0.8,0.5,0.7,-,0.3,0.8,-,-,5.94,-,-,0.3,-,0.2,-,0.7,0.7,-,-,13.2,77.2,-,0.2,-
"517Liam DelapMan City, 19, Forward","Liam Delap Man City, 19, Forward",0(1),39,-,-,1,-,-,-,-,-,5.94,-,-,1,-,-,-,1,3.0,-,-,6.0,83.3,-,-,-
"518Joel MumbongoBurnley, 23, Forward","Joel Mumbongo Burnley, 23, Forward",0(4),37,-,-,0.3,-,-,-,-,-,5.94,-,-,-,-,0.5,0.3,0.3,0.3,-,-,1.3,80,-,-,-
"519Lys MoussetSheff Utd, 26, FW","Lys Mousset Sheff Utd, 26, FW",2(9),290,0.1,-,0.6,-,0.1,0.2,-,-,5.94,-,-,0.4,0.3,0.2,0.4,0.8,1.1,-,0.3,4.0,77.3,-,0.2,-
"520Cenk TosunEverton, 30, FW","Cenk Tosun Everton, 30, FW",0(5),44,-,-,0.2,-,-,0.2,-,-,5.93,-,-,-,0.2,-,-,-,0.2,-,0.2,2.8,64.3,-,0.2,-
"501Dane ScarlettTottenham, 18, Forward","Dane Scarlett Tottenham, 18, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"502Elliot AndersonNewcastle, 19, AM(CL)","Elliot Anderson Newcastle, 19, AM(CL)",0(1),3,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,1,100,-,-,-
"503Femi SerikiSheff Utd, 20, Midfielder","Femi Seriki Sheff Utd, 20, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
