,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,"521Simon MooreSheff Utd, 32, GK","Simon Moore Sheff Utd, 32, GK",2,180,0.5,-,-,-,-,-,-,-,5.39,-,-,-,-,-,-,-,-,-,-,22,34.1,-,5,-
1,"522Mark TraversBournemouth, 23, GK","Mark Travers Bournemouth, 23, GK",1,90,-,-,-,-,1,-,-,-,4.95,-,-,-,-,-,-,-,-,-,-,25,60.0,-,2,-
0,"511Adam IdahNorwich, 21, FW","Adam Idah Norwich, 21, FW",1(11),221,0.2,-,0.2,-,0.1,0.1,-,-,5.98,-,-,0.5,0.1,0.3,0.1,0.4,0.8,-,0.1,4.0,72.9,-,-,-
1,"512Kelland WattsNewcastle, 22, D(C),DMC","Kelland Watts Newcastle, 22, D(C),DMC",0(1),16,1,-,-,-,-,-,-,-,5.97,-,-,-,-,-,-,-,-,-,-,3.0,33.3,-,-,-
2,"513Albian AjetiWest Ham, 25, FW","Albian Ajeti West Ham, 25, FW",0(9),132,0.1,-,0.7,-,-,-,-,-,5.97,-,-,0.3,0.2,-,0.2,0.2,0.4,-,0.2,1.7,80.0,-,-,-
3,"514Oumar NiasseEverton, 32, FW","Oumar Niasse Everton, 32, FW",0(3),19,1.3,0.3,0.7,-,-,-,-,-,5.97,-,-,-,-,-,-,1.7,0.7,-,-,1.0,100.0,-,-,-
4,"515Isaac SuccessWatford, 26, AM(LR),FW","Isaac Success Watford, 26, AM(LR),FW",0(5),67,-,0.2,0.4,-,-,-,-,-,5.96,-,-,0.2,0.2,0.4,-,0.4,1,-,0.2,3.4,76.5,-,-,-
5,"516Danny DrinkwaterBurnley, 32, DMC","Danny Drinkwater Burnley, 32, DMC",1,59,2,1,1,-,-,1,-,-,5.92,-,-,-,-,-,-,-,1,-,-,24.0,58.3,-,-,-
6,"517Ravel MorrisonSheff Utd, 29, M(C),FW","Ravel Morrison Sheff Utd, 29, M(C),FW",0(1),12,-,-,1,-,-,-,-,-,5.92,-,-,1,-,-,-,1,-,-,-,6.0,83.3,-,-,-
7,"518Leon ClarkeSheff Utd, 37, FW","Leon Clarke Sheff Utd, 37, FW",0(2),33,-,-,-,-,1,-,-,-,5.91,-,-,0.5,-,-,-,-,0.5,-,-,3.0,66.7,-,-,-
8,"519Danny DrinkwaterAston Villa, 32, DMC","Danny Drinkwater Aston Villa, 32, DMC",4,263,1.3,1.3,1.8,-,1.3,4,-,-,5.74,-,-,0.5,0.3,0.3,-,0.8,0.8,-,0.3,42.0,82.1,-,2.5,-
9,"520Borja BastónAston Villa, 29, FW","Borja Bastón Aston Villa, 29, FW",0(2),16,0.5,-,-,-,-,1,-,-,5.71,-,-,-,-,-,-,-,0.5,-,-,3.0,66.7,-,-,-
0,"501Víctor CamarasaCrystal Palace, 27, M(CR)","Víctor Camarasa Crystal Palace, 27, M(CR)",0(1),5,-,-,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,-,-,-,3,100,-,-,-
1,"502Jack WilshereWest Ham, 30, M(CLR)","Jack Wilshere West Ham, 30, M(CLR)",2(6),212,0.1,0.1,0.1,-,-,0.5,-,-,6.01,-,-,-,-,1,-,1.1,1,-,-,9.4,82.7,-,0.1,-
2,"503Axel TuanzebeMan Utd, 24, D(CR)","Axel Tuanzebe Man Utd, 24, D(CR)",2(3),187,0.4,1,0.6,0.2,0.8,0.2,-,-,6.0,-,-,-,-,0.6,-,0.4,0.2,-,-,27.2,88.2,-,0.8,-
3,"504Jonathan KodjiaAston Villa, 32, AM(LR),FW","Jonathan Kodjia Aston Villa, 32, AM(LR),FW",0(6),112,-,-,0.2,-,0.2,0.2,-,-,6.0,-,-,0.3,0.2,0.3,-,-,0.7,-,0.2,4.5,55.6,-,-,-
4,"505Akin FamewoNorwich, 23, D(C)","Akin Famewo Norwich, 23, D(C)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"506James GarnerMan Utd, 21, M(C)","James Garner Man Utd, 21, M(C)",0(1),8,-,-,-,-,1,1,-,-,6.0,-,-,-,-,1,-,-,-,-,-,14,100,-,1,-
6,"507Jordan ThomasNorwich, 21, Defender","Jordan Thomas Norwich, 21, Defender",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"508Kieron FreemanSheff Utd, 30, D(CR),M(R)","Kieron Freeman Sheff Utd, 30, D(CR),M(R)",0(2),6,-,-,0.5,-,-,-,-,-,5.99,-,-,-,-,-,-,-,-,-,-,0.5,100,-,-,-
8,"509Max ThompsonBurnley, 20, Forward","Max Thompson Burnley, 20, Forward",0(1),2,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,"510Richairo ZivkovicSheff Utd, 25, AM(R),FW","Richairo Zivkovic Sheff Utd, 25, AM(R),FW",0(5),107,0.4,-,0.2,-,-,0.2,-,-,5.98,-,-,0.2,0.4,0.2,-,0.6,0.2,-,0.4,3.6,88.9,0.2,-,-
0,"491Dimitri FoulquierWatford, 29, D(CLR),M(R)","Dimitri Foulquier Watford, 29, D(CLR),M(R)",1(2),58,0.3,0.7,-,-,0.7,-,-,-,6.03,-,-,-,-,-,-,-,0.7,-,-,3.3,80.0,-,0.3,-
1,"492Sam SurridgeBournemouth, 23, FW","Sam Surridge Bournemouth, 23, FW",0(4),26,-,0.3,0.5,-,-,-,-,-,6.03,-,-,0.5,0.3,0.3,-,0.3,0.8,-,0.3,2.3,55.6,-,-,-
2,"493Josip DrmicNorwich, 29, AM(LR),FW","Josip Drmic Norwich, 29, AM(LR),FW",5(16),642,0.1,-,0.3,-,0.2,0.4,-,-,6.03,1,-,0.7,0.2,0.2,0.3,0.7,1,-,0.2,7.6,77.5,-,0.1,-
3,"494Armando BrojaChelsea, 20, FW","Armando Broja Chelsea, 20, FW",0(1),4,-,-,-,-,-,-,-,-,6.02,-,-,-,-,1,-,1,-,-,-,1.0,100.0,-,-,-
4,"495Tahith ChongMan Utd, 22, AM(CLR),FW","Tahith Chong Man Utd, 22, AM(CLR),FW",0(3),34,-,-,0.7,-,-,-,-,-,6.02,-,-,0.3,-,0.3,-,0.3,0.7,-,-,4.7,64.3,-,-,-
5,"496Andrew SurmanBournemouth, 35, M(CL)","Andrew Surman Bournemouth, 35, M(CL)",2(3),235,0.8,0.2,0.2,-,0.8,0.4,-,-,6.02,-,-,0.2,0.2,0.2,-,0.4,0.8,-,0.2,25.4,81.1,0.4,1.2,-
6,"497Henri LansburyAston Villa, 31, M(C)","Henri Lansbury Aston Villa, 31, M(C)",2(8),191,0.6,-,0.4,-,0.2,0.6,-,-,6.01,-,-,0.2,0.2,0.1,-,-,0.7,-,0.2,8.2,78.0,-,0.7,-
7,"498Matty JamesLeicester, 30, DMC","Matty James Leicester, 30, DMC",0(1),5,-,-,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,-,-,-,5.0,100.0,-,-,-
8,"499Troy ParrottTottenham, 20, AM(CLR),FW","Troy Parrott Tottenham, 20, AM(CLR),FW",0(2),6,-,-,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,-,-,-,2.0,100.0,-,-,-
9,"500Victor WanyamaTottenham, 30, DMC","Victor Wanyama Tottenham, 30, DMC",0(2),24,-,-,0.5,-,-,-,-,-,6.01,-,-,-,-,0.5,-,-,-,-,-,9.5,89.5,-,0.5,-
0,"481Aaron LennonBurnley, 35, M(LR)","Aaron Lennon Burnley, 35, M(LR)",4(12),486,0.9,0.5,0.6,-,0.2,0.2,0.1,-,6.08,-,-,0.1,0.1,0.4,-,0.3,0.4,-,0.1,7.4,69.5,0.1,0.1,-
1,"482Domingos QuinaWatford, 22, M(CL)","Domingos Quina Watford, 22, M(CL)",0(4),18,0.5,-,0.3,-,-,0.3,-,-,6.08,-,-,0.3,-,0.3,-,0.3,0.5,-,-,2.5,100,-,-,-
2,"483Gaëtan BongBrighton, 34, D(L)","Gaëtan Bong Brighton, 34, D(L)",0(4),57,0.3,-,-,-,-,-,0.3,-,6.07,-,-,-,0.5,0.3,-,0.3,0.8,-,0.5,6.8,81.5,0.3,0.3,-
3,"484Georges-Kévin NkoudouTottenham, 27, AM(LR)","Georges-Kévin Nkoudou Tottenham, 27, AM(LR)",0(1),2,-,-,-,-,-,1,-,-,6.07,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
4,"485Dennis SrbenyNorwich, 28, AM(C),FW","Dennis Srbeny Norwich, 28, AM(C),FW",0(8),41,0.6,-,0.1,-,0.1,0.3,-,-,6.06,1,-,0.3,-,-,-,0.4,0.1,-,-,2.3,72.2,-,-,-
5,"486Juan FoythTottenham, 24, D(CR),DMC","Juan Foyth Tottenham, 24, D(CR),DMC",1(3),67,1.8,0.3,0.5,-,0.5,0.3,-,-,6.05,-,-,-,0.3,0.3,-,0.3,0.3,-,0.3,14,82.1,-,0.5,-
6,"487Ørjan NylandAston Villa, 31, GK","Ørjan Nyland Aston Villa, 31, GK",5(2),537,-,-,-,-,0.3,-,-,-,6.05,-,-,-,-,-,-,-,0.1,-,-,21.7,52.6,-,5,-
7,"488Yoshinori MutoNewcastle, 29, FW","Yoshinori Muto Newcastle, 29, FW",2(6),208,0.4,-,0.3,-,-,0.1,-,-,6.04,-,-,0.1,0.1,0.4,0.4,0.3,1.1,-,0.1,4,84.4,-,-,-
8,"489Indiana VassilevAston Villa, 21, AM(LR)","Indiana Vassilev Aston Villa, 21, AM(LR)",0(4),47,-,-,-,-,-,-,-,-,6.04,-,-,0.3,-,0.3,0.5,0.5,0.3,-,-,2.8,63.6,-,-,-
9,"490Josh MartinNorwich, 20, AM(L)","Josh Martin Norwich, 20, AM(L)",0(5),32,0.2,0.2,0.2,-,-,-,-,-,6.03,-,-,0.2,-,-,-,-,-,-,-,3,80,-,0.2,-
0,"471Maya YoshidaSouthampton, 33, D(CR)","Maya Yoshida Southampton, 33, D(CR)",6(2),558,1,0.5,0.4,0.3,3.1,0.5,0.3,-,6.12,-,-,0.6,-,0.6,-,0.3,0.3,-,-,33.4,79.0,-,1.9,-
1,"472Odion IghaloMan Utd, 32, AM(C),FW","Odion Ighalo Man Utd, 32, AM(C),FW",0(11),122,0.2,-,0.1,-,-,0.2,0.1,-,6.11,-,-,0.6,0.2,0.1,0.1,0.4,0.4,-,0.2,2.3,88.0,-,-,-
