Name,uefa_Name
Arsenal,ARS  Arsenal FC  Arsenal
Everton,EVE  Everton FC  Everton
Man Utd,MU  Manchester United  Man. United
Wolves,WOL  Wolverhampton Wanderers FC  Wolves
West Ham,WES  West Ham United FC  West Ham
Liverpool,LIV  Liverpool FC  Liverpool
Tottenham,TOT  Tottenham Hotspur  Tottenham
Man City,MC  Manchester City FC  Man. City
Southampton,SOU  Southampton FC  Southampton
Burnley,BUR  Burnley FC  Burnley
Leicester,LEI  Leicester City FC  Leicester
Chelsea,CHE  Chelsea FC  Chelsea
Granada,GRA
Espanyol,ESP
Valencia,VAL  Valencia CF  Valencia
Barcelona,BAR  FC Barcelona  Barcelona
Real Madrid,RM  Real Madrid CF  Real Madrid
Athletic Bilbao,ATH  Athletic Club  Athletic Club
Villarreal,VLR  Villarreal CF  Villarreal
Sevilla,SEV  Sevilla FC  Sevilla
Real Betis,BET  Real Betis Balompié  Betis
Atletico,ATL  Club Atlético de Madrid  Atlético
Getafe,GET  Getafe CF  Getafe
Celta Vigo,CEL  RC Celta de Vigo  Celta
Real Sociedad,REA  Real Sociedad de Fútbol  Real Sociedad
Freiburg,FRE  SC Freiburg  Freiburg
Hoffenheim,HOF  TSG 1899 Hoffenheim  Hoffenheim
Wolfsburg,WOL  VfL Wolfsburg  Wolfsburg
RBL,LEI  RB Leipzig  Leipzig
Borussia Dortmund,BVB  Borussia Dortmund  Dortmund
Frankfurt,EIN  Eintracht Frankfurt  Frankfurt
Mainz,MAI  1. FSV Mainz 05  Mainz
Hertha Berlin,HER  Hertha BSC Berlin  Hertha
Leverkusen,BL  Bayer 04 Leverkusen  Leverkusen
Borussia M.Gladbach,MON  VfL Borussia Mönchengladbach  Mönchengladbach
Bayern,BAY  FC Bayern München  Bayern
FC Koln,KÖL  1. FC Köln  Köln
Schalke,SCH  FC Schalke 04  Schalke
Sassuolo,US Sassuolo Calcio  Sassuolo
Inter,INT  FC Internazionale Milano  Inter
Juventus,JUV  Juventus  Juventus
Fiorentina,FIO  ACF Fiorentina  Fiorentina
Roma,ASR  AS Roma  Roma
AC Milan,ACM  AC Milan  Milan
Lazio,LAZ  SS Lazio  Lazio
Torino,TOR  Torino FC  Torino
Napoli,NAP  SSC Napoli  Napoli
Atalanta,ATA  Atalanta BC  Atalanta
Bordeaux,BOR  FC Girondins de Bordeaux  Bordeaux
Rennes,REN  Stade Rennais FC  Rennes
Marseille,OM  Olympique de Marseille  Marseille
Monaco,MON  AS Monaco FC  Monaco
Saint-Etienne,STE  AS Saint-Étienne  St-Étienne
Montpellier,MON  Montpellier Hérault SC  Montpellier
Strasbourg,STR  Racing Club de Strasbourg Alsace  Strasbourg
PSG,PAR  Paris Saint-Germain  Paris
Reims,REI  Stade de Reims  Reims
Lille,LIL  LOSC Lille  LOSC
Nice,NIC  OGC Nice  Nice
Lyon,OL  Olympique Lyonnais  Lyon
