,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"551Héctor HernándezReal Zaragoza, 31, D(L)","Héctor Hernández Real Zaragoza, 31, D(L)",1,24,-,1,2,-,-,-,-,-,5.4,-,-,-,1,-,-,-,-,7,85.7,1,-,-
0,"541José RodríguezReal Madrid, 27, D(C),M(CR)","José Rodríguez Real Madrid, 27, D(C),M(CR)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"542Adriá CarmonaReal Zaragoza, 30, Forward","Adriá Carmona Real Zaragoza, 30, Forward",0(3),52,0.3,-,0.7,-,0.7,-,-,-,6.0,-,-,-,-,0.7,-,0.7,0.3,2,66.7,-,-,-
2,"543Saúl ÑíguezAtletico, 27, D(CL),M(CLR)","Saúl Ñíguez Atletico, 27, D(CL),M(CLR)",0(2),10,-,-,0.5,-,-,-,-,-,6.0,-,-,-,-,-,-,0.5,0.5,3,100,-,-,-
3,"544Antonio LunaSevilla, 31, D(L),M(L)","Antonio Luna Sevilla, 31, D(L),M(L)",2(3),186,0.2,0.4,0.2,-,0.4,-,-,-,5.96,-,-,-,0.4,-,-,0.4,0.6,6.4,65.6,0.2,0.2,-
4,"545Brandon ThomasMallorca, 27, FW","Brandon Thomas Mallorca, 27, FW",0(1),17,-,-,1,-,-,1,-,-,5.92,-,-,-,1,1,-,1,1,5,100,-,1,-
5,"546Andreu FontàsMallorca, 32, D(C),DMC","Andreu Fontàs Mallorca, 32, D(C),DMC",5(4),370,1,0.7,0.8,-,1.2,0.3,0.2,-,5.88,-,-,0.1,0.1,0.3,-,0.3,0.4,18.4,81.3,-,1.2,-
6,"547Pablo ÍnsuaDeportivo, 28, D(C)","Pablo Ínsua Deportivo, 28, D(C)",2(1),190,1.3,1.7,-,2,4.3,-,-,-,5.75,-,-,-,-,-,-,0.7,0.7,19,93,-,3.7,-
7,"548Mohammed AbuRayo Vallecano, 30, DMC","Mohammed Abu Rayo Vallecano, 30, DMC",1,61,-,-,-,-,-,-,-,-,5.6,-,-,-,1,-,-,1,1,30,70,-,-,-
8,"549Sergio AsenjoAtletico, 32, GK","Sergio Asenjo Atletico, 32, GK",1,90,-,-,-,-,-,-,-,-,5.56,-,-,-,-,-,-,-,-,7,85.7,-,3,-
9,"550Tiago PintoDeportivo, 34, D(L),M(C)","Tiago Pinto Deportivo, 34, D(L),M(C)",1,90,2,2,1,1,2,1,-,-,5.47,-,-,-,-,2,-,-,1,17,70.6,-,1,-
0,"531Rubén RamiroRayo Vallecano, 29, Forward","Rubén Ramiro Rayo Vallecano, 29, Forward",0(1),27,1,-,-,-,-,-,-,-,6.06,-,-,-,-,-,-,2,-,9.0,44.4,-,1,-
1,"532Javi HervásSevilla, 33, Midfielder","Javi Hervás Sevilla, 33, Midfielder",1(8),150,0.6,-,0.3,-,0.1,-,-,-,6.06,-,-,0.3,-,0.1,-,0.6,0.4,9.2,81.9,-,0.6,-
2,"533Raúl TamudoRayo Vallecano, 44, AM(L)","Raúl Tamudo Rayo Vallecano, 44, AM(L)",0(4),56,-,-,0.3,-,-,-,-,-,6.05,1,-,0.8,0.3,0.3,-,-,0.3,2.8,90.9,-,-,-
3,"534Joan TomásCelta Vigo, 37, Midfielder","Joan Tomás Celta Vigo, 37, Midfielder",0(3),23,-,-,-,-,-,0.3,-,-,6.05,-,-,0.3,0.7,0.3,-,0.3,0.3,8.0,79.2,-,-,-
4,"535Manuel AranaRayo Vallecano, 37, D(C),M(CR)","Manuel Arana Rayo Vallecano, 37, D(C),M(CR)",0(2),14,-,-,-,-,0.5,0.5,-,-,6.05,-,-,-,-,-,-,-,-,4.0,62.5,-,-,-
5,"536Darwin MachísGranada, 29, AM(LR)","Darwin Machís Granada, 29, AM(LR)",0(4),40,0.3,0.5,0.5,-,-,-,-,-,6.04,-,-,0.5,-,-,0.3,-,0.5,3.0,66.7,-,-,-
6,"537Álvaro GiménezMallorca, 31, FW","Álvaro Giménez Mallorca, 31, FW",0(1),10,-,-,-,-,-,1,-,-,6.02,-,-,-,-,1,-,-,-,1.0,100.0,-,-,-
7,"538Charlie TookMallorca, 29, Defender","Charlie Took Mallorca, 29, Defender",0(1),13,-,-,1,-,-,-,-,-,6.02,-,-,-,-,1,-,-,1,4.0,100.0,-,-,-
8,"539Diego LópezSevilla, 40, GK","Diego López Sevilla, 40, GK",8,664,-,-,0.1,-,0.4,0.1,-,-,6.01,-,-,-,-,-,-,-,-,27.4,64.4,-,8.8,-
9,"540Carlos GarcíaReal Betis, 28, Midfielder","Carlos García Real Betis, 28, Midfielder",0(1),1,-,-,2,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,4.0,75.0,-,-,-
0,"521IsiRayo Vallecano, 26, Midfielder","Isi Rayo Vallecano, 26, Midfielder",0(1),5,-,1,-,-,-,1,-,-,6.11,-,-,-,-,-,-,-,-,4.0,75.0,-,-,-
1,"522Maikel MesaOsasuna, 31, Midfielder","Maikel Mesa Osasuna, 31, Midfielder",0(1),12,-,1,-,-,-,-,-,-,6.11,-,-,-,-,1,-,-,-,8.0,87.5,-,-,-
2,"523Theofanis GekasLevante, 42, FW","Theofanis Gekas Levante, 42, FW",2(2),234,0.3,-,0.5,-,-,-,0.3,-,6.11,-,1,-,0.8,-,1.5,-,0.5,5.3,66.7,-,-,-
3,"524Gaizka ToqueroAthletic Bilbao, 37, AM(R),FW","Gaizka Toquero Athletic Bilbao, 37, AM(R),FW",1(15),214,0.4,0.3,0.3,-,0.2,0.2,-,-,6.1,-,-,0.3,0.1,0.1,0.1,-,0.3,4.8,78.9,0.1,0.1,0.1
4,"525Roderick MirandaDeportivo, 31, D(C)","Roderick Miranda Deportivo, 31, D(C)",3,243,2,2.3,0.7,1.7,4.3,0.7,0.7,-,6.09,-,-,-,0.7,-,-,0.3,0.3,31.3,84.0,-,4.3,-
5,"526Javi ÁlamoReal Zaragoza, 33, Forward","Javi Álamo Real Zaragoza, 33, Forward",0(7),64,0.3,0.1,0.4,-,-,0.1,-,-,6.08,-,-,0.3,0.1,0.3,-,0.4,-,3.4,37.5,0.1,-,-
6,"527Dani GiménezRayo Vallecano, 38, GK","Dani Giménez Rayo Vallecano, 38, GK",1(1),109,-,-,-,-,2.5,-,-,-,6.08,-,-,-,-,-,-,-,-,15.0,56.7,-,4,-
7,"528Guillermo MolinsReal Betis, 33, Midfielder","Guillermo Molins Real Betis, 33, Midfielder",0(4),49,0.5,0.3,0.8,-,-,-,-,-,6.07,-,-,0.8,-,-,-,0.5,0.5,3.5,92.9,-,-,-
8,"529Moisés HurtadoGranada, 41, D(C),M(CR)","Moisés Hurtado Granada, 41, D(C),M(CR)",1,48,1,1,2,-,-,-,-,-,6.07,-,-,-,-,-,-,-,-,15.0,93.3,-,-,-
9,"530Leo FrancoReal Zaragoza, 45, GK","Leo Franco Real Zaragoza, 45, GK",4,347,0.3,-,0.5,-,2.5,-,-,-,6.06,-,-,-,-,0.3,-,-,0.3,25.8,41.7,-,7,-
0,"511Martin PetrovEspanyol, 43, M(CL),FW","Martin Petrov Espanyol, 43, M(CL),FW",0(8),126,0.1,-,0.4,-,0.1,0.3,-,-,6.15,-,1,0.5,0.5,0.1,-,0.1,0.1,7.9,73,0.4,0.6,-
1,"512Omar MascarellReal Madrid, 29, DMC","Omar Mascarell Real Madrid, 29, DMC",0(1),9,-,-,1,-,-,-,-,-,6.15,-,-,-,-,-,-,-,-,6.0,83.3,-,-,-
2,"513Javier CamuñasDeportivo, 41, AM(CL),FW","Javier Camuñas Deportivo, 41, AM(CL),FW",4(19),645,0.7,0.2,0.5,-,0.2,0.1,-,-,6.15,1,-,0.3,0.3,0.3,0.3,0.7,0.8,14.6,78,0.2,0.2,-
3,"514Joseba LlorenteOsasuna, 42, FW","Joseba Llorente Osasuna, 42, FW",10(14),931,0.3,0.3,0.5,-,0.1,0.2,-,-,6.14,1,-,1.1,0.3,0.5,0.7,0.7,1.3,10.8,67.1,-,0.3,-
4,"515Javi RosReal Sociedad, 32, Midfielder","Javi Ros Real Sociedad, 32, Midfielder",0(6),67,0.2,0.2,0.2,0.2,-,0.2,0.2,-,6.14,-,-,-,-,0.2,-,-,0.3,6.7,82.5,-,0.8,-
5,"516Israel PuertoSevilla, 28, Defender","Israel Puerto Sevilla, 28, Defender",0(2),25,-,-,0.5,-,1.5,-,0.5,-,6.13,-,-,-,-,-,-,-,-,2.0,-,-,-,-
6,"517Hassan YebdaGranada, 38, M(C)","Hassan Yebda Granada, 38, M(C)",0(2),43,0.5,-,-,-,0.5,-,-,-,6.13,-,-,-,-,0.5,-,-,0.5,8.5,52.9,-,-,-
7,"518Marc FernándezMallorca, 32, Midfielder","Marc Fernández Mallorca, 32, Midfielder",0(6),106,0.2,-,0.2,-,-,0.2,-,-,6.12,-,-,0.7,0.2,0.2,-,0.2,0.3,3.8,60.9,0.7,0.2,-
8,"519Álex RubioSevilla, 29, Forward","Álex Rubio Sevilla, 29, Forward",0(2),26,-,-,-,-,-,-,-,-,6.12,-,-,-,-,0.5,-,-,-,3.5,28.6,-,-,-
9,"520Diego LlorenteReal Madrid, 28, D(C),DMC","Diego Llorente Real Madrid, 28, D(C),DMC",0(1),5,-,-,-,-,-,-,-,-,6.11,-,-,-,-,-,-,-,-,3.0,100,-,-,-
0,"501Juan Ángel NeiraReal Valladolid, 33, Midfielder","Juan Ángel Neira Real Valladolid, 33, Midfielder",1(6),101,0.1,-,1.1,-,0.3,0.3,-,-,6.17,-,-,0.4,0.1,0.1,-,0.1,0.1,6.6,80.4,0.1,0.1,-
1,"502Juan Ángel AlbínEspanyol, 35, AM(C),FW","Juan Ángel Albín Espanyol, 35, AM(C),FW",2(5),217,0.6,0.1,0.4,-,0.7,0.3,-,-,6.17,1,-,0.9,0.4,0.3,-,0.9,0.6,7.4,75.0,0.1,0.4,-
2,"503Edu OriolReal Zaragoza, 35, M(LR)","Edu Oriol Real Zaragoza, 35, M(LR)",8(11),775,0.6,0.2,0.4,-,0.2,0.1,-,-,6.17,-,-,0.5,0.5,0.9,0.1,1.5,0.5,11.2,80.8,0.2,0.3,-
3,"504Ángel RodríguezLevante, 35, FW","Ángel Rodríguez Levante, 35, FW",2(8),282,0.3,0.2,0.4,-,-,-,-,-,6.17,1,1,0.8,0.2,0.2,0.3,0.5,0.9,5.3,79.2,-,-,-
4,"505Miguel PallardóLevante, 35, M(CR)","Miguel Pallardó Levante, 35, M(CR)",0(5),59,0.6,0.4,0.6,-,0.8,0.2,0.2,-,6.16,-,-,-,-,0.4,-,0.2,0.2,5.4,70.4,-,-,-
5,"506Rodolfo BodipoDeportivo, 44, FW","Rodolfo Bodipo Deportivo, 44, FW",0(6),79,-,-,-,-,-,-,-,-,6.16,1,-,0.8,-,0.2,-,-,0.2,2.2,76.9,-,-,-
