,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"471Mohamed AmsifAugsburg, 33, GK","Mohamed Amsif Augsburg, 33, GK",2,180,-,-,-,-,0.5,0.5,-,-,5.76,-,-,-,-,-,-,-,-,30.5,75.4,-,10.5,-
1,"472Teemu PukkiSchalke, 32, AM(C),FW","Teemu Pukki Schalke, 32, AM(C),FW",0(1),28,-,-,1,-,-,1,-,-,5.76,-,-,-,-,1,-,-,-,10.0,90.0,-,-,-
2,"473Panagiotis VlachodimosAugsburg, 30, Forward","Panagiotis Vlachodimos Augsburg, 30, Forward",0(1),15,-,-,-,-,-,-,-,-,5.74,-,-,-,-,-,-,-,-,6.0,33.3,-,-,-
3,"474Kyriakos PapadopoulosSchalke, 30, D(C)","Kyriakos Papadopoulos Schalke, 30, D(C)",1(3),85,0.8,0.3,0.5,-,1.5,0.8,0.3,-,5.7,-,-,0.3,-,-,-,-,-,3.5,100.0,-,0.8,-
4,"475Felix WiedwaldEintracht Frankfurt, 32, GK","Felix Wiedwald Eintracht Frankfurt, 32, GK",0(1),16,-,-,-,-,-,-,-,-,5.7,-,-,-,-,-,-,-,-,5.0,40.0,-,2,-
5,"476Petar SliskovicMainz, 31, Forward","Petar Sliskovic Mainz, 31, Forward",0(2),27,-,-,1,-,-,-,-,-,5.38,-,-,0.5,-,-,-,-,0.5,2.5,80.0,-,-,-
0,"461Todor NedelevMainz, 29, AM(CR)","Todor Nedelev Mainz, 29, AM(CR)",0(2),21,-,-,-,-,-,-,-,-,5.93,-,-,-,-,0.5,-,0.5,-,5.0,70.0,-,-,-
1,"462Tim AlbutatFreiburg, 29, DMC","Tim Albutat Freiburg, 29, DMC",0(1),29,-,-,2,-,1,2,-,-,5.91,-,-,1,-,2,-,-,-,22.0,72.7,-,-,-
2,"463Christian WetkloMainz, 42, GK","Christian Wetklo Mainz, 42, GK",1(1),134,-,-,0.5,-,-,-,-,-,5.89,-,-,-,-,-,-,-,-,19.0,47.4,-,6,-
3,"464Robin YalcinStuttgart, 28, D(CR),M(C)","Robin Yalcin Stuttgart, 28, D(CR),M(C)",0(3),43,1,0.3,0.7,-,-,-,-,-,5.89,-,-,-,0.3,-,-,-,-,6.3,78.9,-,0.7,-
4,"465Koray GünterBorussia Dortmund, 27, D(C)","Koray Günter Borussia Dortmund, 27, D(C)",0(1),1,-,-,-,-,-,-,-,-,5.88,-,-,-,-,-,-,-,-,4.0,75.0,-,-,-
5,"466Tobias WeisEintracht Frankfurt, 36, M(C)","Tobias Weis Eintracht Frankfurt, 36, M(C)",1(3),99,0.8,0.3,0.5,-,0.3,1.3,-,-,5.86,-,-,0.3,-,0.5,-,1.5,0.5,7.3,62.1,0.3,-,-
6,"467Ryu Seung-WooLeverkusen, 28, Midfielder","Ryu Seung-Woo Leverkusen, 28, Midfielder",0(2),17,-,-,-,-,-,-,-,-,5.85,-,-,-,-,-,-,1.5,-,2.0,75.0,-,-,-
7,"468Nicolai LorenzoniFreiburg, 30, Defender","Nicolai Lorenzoni Freiburg, 30, Defender",0(1),9,-,-,1,-,-,1,-,-,5.82,-,-,-,-,-,-,1,-,3.0,100.0,-,-,-
8,"469Giovanni SioWolfsburg, 33, AM(LR),FW","Giovanni Sio Wolfsburg, 33, AM(LR),FW",0(1),11,-,-,-,-,-,-,-,-,5.76,-,-,2,-,-,1,-,-,2.0,50.0,-,-,-
9,"470Makoto HasebeWolfsburg, 38, D(CR),M(CR)","Makoto Hasebe Wolfsburg, 38, D(CR),M(CR)",0(1),7,-,-,1,-,-,-,-,-,5.76,-,-,-,-,-,-,1,-,4.0,75.0,-,1,-
0,"451Tim SchramlFreiburg, 29, Defender","Tim Schraml Freiburg, 29, Defender",0(1),4,-,-,-,-,-,-,-,-,6.0,-,-,-,-,1,-,-,-,1.0,100.0,-,-,-
1,"452Jan WashausenEintracht Braunschweig, 33, Midfielder","Jan Washausen Eintracht Braunschweig, 33, Midfielder",1(1),82,2.5,0.5,0.5,-,1.5,1.5,0.5,-,6.0,-,-,-,-,0.5,-,-,-,13.5,81.5,-,1,-
2,"453Lukas SchmitzWerder Bremen, 33, D(L),M(CL)","Lukas Schmitz Werder Bremen, 33, D(L),M(CL)",0(3),99,1.3,2,0.7,-,1,0.7,-,-,5.99,-,-,-,-,-,-,0.3,0.3,8.3,76.0,0.7,0.7,-
3,"454Marko ArnautovicWerder Bremen, 33, AM(CLR),FW","Marko Arnautovic Werder Bremen, 33, AM(CLR),FW",1(1),90,1,0.5,1.5,-,-,0.5,-,-,5.99,-,-,1,1,1,1,0.5,-,13.5,66.7,-,0.5,-
