,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"501Ben WilmotWatford, 22, D(CR)","Ben Wilmot Watford, 22, D(CR)",0(2),26,-,-,-,-,0.5,0.5,0.5,-,5.98,-,-,-,-,-,-,-,-,4.5,66.7,-,1.5,-
1,"502Collin QuanerHuddersfield, 30, AM(R),FW","Collin Quaner Huddersfield, 30, AM(R),FW",0(2),37,-,-,1,-,-,0.5,-,-,5.97,-,-,-,0.5,-,0.5,1,1,8.5,76.5,-,-,-
2,"503Stefano OkakaWatford, 32, FW","Stefano Okaka Watford, 32, FW",0(2),22,-,-,0.5,-,-,-,-,-,5.97,-,-,1,1,0.5,-,0.5,0.5,7.0,71.4,-,-,-
3,"504Matty DalyHuddersfield, 21, AM(C)","Matty Daly Huddersfield, 21, AM(C)",0(2),73,-,-,-,-,-,-,-,-,5.96,-,-,-,-,-,-,-,0.5,6.0,58.3,-,-,-
4,"505Victor MosesChelsea, 31, M(CLR)","Victor Moses Chelsea, 31, M(CLR)",0(2),26,-,-,0.5,-,-,-,-,-,5.96,-,-,-,0.5,0.5,-,1,0.5,6.5,76.9,-,-,-
5,"506Bakary SakoCrystal Palace, 34, M(L),FW","Bakary Sako Crystal Palace, 34, M(L),FW",0(4),26,0.5,-,0.3,-,-,-,-,-,5.96,-,-,-,-,-,0.3,0.5,0.5,2.5,80.0,-,0.3,-
6,"507Aaron RoweHuddersfield, 21, M(LR)","Aaron Rowe Huddersfield, 21, M(LR)",1(1),69,0.5,0.5,1,-,0.5,-,-,-,5.92,-,-,-,-,-,-,2,0.5,10.0,65.0,-,-,-
7,"508Julian SperoniCrystal Palace, 43, GK","Julian Speroni Crystal Palace, 43, GK",1,90,-,-,-,-,1,-,-,-,5.45,-,-,-,-,-,-,-,2,32.0,37.5,-,10,-
0,"491Luke DreherCrystal Palace, 23, Midfielder","Luke Dreher Crystal Palace, 23, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,3,100,-,-,-
1,"492Maximilian KilmanWolves, 25, D(C)","Maximilian Kilman Wolves, 25, D(C)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
