,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"561Romain FaivreMonaco, 23, AM(CLR)","Romain Faivre Monaco, 23, AM(CLR)",1,90,1,1,3,-,1,1,-,-,5.38,-,-,2,1,2,-,1,1,43,86,-,2,-
0,"551Armand LaurientéRennes, 23, AM(LR),FW","Armand Laurienté Rennes, 23, AM(LR),FW",0(1),3,-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,2,4,75,-,-,-
1,"552Oumar SoletLyon, 22, D(C)","Oumar Solet Lyon, 22, D(C)",1,60,1,-,2,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,46,93.5,-,-,-
2,"553Paul WadeNice, 22, Midfielder","Paul Wade Nice, 22, Midfielder",0(1),7,-,-,-,-,1,3,-,-,5.87,-,-,-,-,-,-,1,2,-,-,-,-,-
3,"554Rayan Aït-NouriAngers, 21, D(L),M(L)","Rayan Aït-Nouri Angers, 21, D(L),M(L)",0(3),55,0.7,-,0.3,-,0.3,0.3,-,-,5.87,-,-,-,-,0.3,-,-,-,11,84.8,-,-,-
4,"555Papy DjilobodjiGuingamp, 33, D(C),DMC","Papy Djilobodji Guingamp, 33, D(C),DMC",2(2),174,0.3,-,0.8,-,2.8,-,0.5,-,5.85,-,-,0.5,0.3,-,-,-,0.3,21.5,68.6,-,3.8,-
5,"556Yannis SaliburGuingamp, 31, AM(CLR),FW","Yannis Salibur Guingamp, 31, AM(CLR),FW",0(1),16,-,-,-,-,-,-,-,-,5.85,-,-,-,-,-,-,1,-,-,-,1,-,-
6,"557Timo StavitskiCaen, 22, Forward","Timo Stavitski Caen, 22, Forward",0(1),13,-,-,-,-,-,1,-,-,5.84,-,-,-,-,-,-,1,-,1,100,-,-,-
7,"558Wilson IsidorMonaco, 21, AM(L)","Wilson Isidor Monaco, 21, AM(L)",0(1),41,-,-,1,-,1,-,1,-,5.82,-,-,2,-,-,-,-,2,8,50,-,-,-
8,"559Seydou SyMonaco, 26, GK","Seydou Sy Monaco, 26, GK",2(1),220,-,-,-,-,-,-,-,-,5.71,-,-,-,-,-,-,-,-,16.7,74,-,2.7,-
9,"560Johan LarssonGuingamp, 32, D(R)","Johan Larsson Guingamp, 32, D(R)",1,90,1,1,1,-,1,1,-,-,5.38,-,-,-,1,-,-,-,1,26,80.8,-,1,-
0,"541Imrân LouzaNantes, 23, M(CLR)","Imrân Louza Nantes, 23, M(CLR)",1,89,2,-,4,-,1,-,-,-,5.99,-,-,1,-,-,-,-,1,40,77.5,-,1,-
1,"542Harrison ManzalaAngers, 28, AM(LR)","Harrison Manzala Angers, 28, AM(LR)",0(8),66,0.3,-,0.1,-,0.1,-,-,-,5.98,-,-,0.3,-,0.4,0.1,0.1,0.3,3,58.3,-,-,-
2,"543Antonio ManceNantes, 26, Forward","Antonio Mance Nantes, 26, Forward",0(5),45,0.2,-,0.6,-,-,0.2,-,-,5.97,-,-,-,-,-,-,0.2,0.4,2.8,64.3,-,-,-
