,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"691Thiago MaiaLille, 25, DMC","Thiago Maia Lille, 25, DMC",1,66,-,1,-,-,-,3,-,-,5.6,-,-,1,-,-,-,1,2,13.0,53.8,-,-,-
1,"692Willy CaballeroChelsea, 40, GK","Willy Caballero Chelsea, 40, GK",2,180,-,-,0.5,-,1,-,-,-,5.51,-,-,-,-,-,-,-,-,33.5,67.2,-,8,-
2,"693Maarten VandevoordtGenk, 20, GK","Maarten Vandevoordt Genk, 20, GK",1,90,-,1,1,-,-,-,-,-,3.84,-,-,-,-,-,-,-,1,27.0,66.7,-,7,-
0,"681Lukáš ProvodSlavia Prague, 25, AM(C)","Lukáš Provod Slavia Prague, 25, AM(C)",0(2),13,-,-,1,-,-,-,-,-,5.88,-,-,-,-,-,-,0.5,1,5.0,70.0,-,-,-
1,"682Izet HajrovicDinamo Zagreb, 30, AM(R)","Izet Hajrovic Dinamo Zagreb, 30, AM(R)",0(1),9,-,-,1,-,-,-,-,-,5.88,-,-,-,-,-,-,-,-,5.0,100.0,-,-,-
2,"683AdriánLiverpool, 35, GK","Adrián Liverpool, 35, GK",3,300,-,-,-,-,-,-,-,-,5.87,-,-,-,-,-,-,-,-,28.0,78.6,-,7,-
3,"684Iyayi AtiemwenDinamo Zagreb, 26, Midfielder","Iyayi Atiemwen Dinamo Zagreb, 26, Midfielder",0(1),6,-,-,-,-,-,-,-,-,5.86,-,-,-,-,-,1,1,2,2.0,50.0,-,-,-
4,"685Jacopo Da RivaAtalanta, 21, Midfielder","Jacopo Da Riva Atalanta, 21, Midfielder",0(1),8,-,1,-,-,-,1,-,-,5.83,-,-,-,-,-,-,-,1,2.0,100.0,-,-,-
5,"686James RodríguezReal Madrid, 30, AM(CLR),FW","James Rodríguez Real Madrid, 30, AM(CLR),FW",1(1),81,0.5,-,-,-,0.5,1.5,-,-,5.82,-,-,0.5,-,-,-,1.5,1,27.5,85.5,-,3,-
6,"687JotaBenfica, 23, AM(LR)","Jota Benfica, 23, AM(LR)",1(1),68,-,-,1,-,-,1,-,-,5.81,-,-,-,-,0.5,-,2,3.5,10.0,80.0,-,0.5,-
7,"688Adama SoumaoroLille, 29, D(CR)","Adama Soumaoro Lille, 29, D(CR)",1,89,-,4,1,-,3,-,-,1,5.78,-,-,-,-,-,-,-,-,27.0,85.2,-,1,-
8,"689Claudio BravoMan City, 39, GK","Claudio Bravo Man City, 39, GK",1(1),126,-,-,0.5,-,1,-,-,-,5.73,-,-,-,-,-,-,-,-,21.0,92.9,-,2.5,-
9,"690Japhet TangangaTottenham, 23, D(CR)","Japhet Tanganga Tottenham, 23, D(CR)",1,90,-,-,1,1,1,1,1,-,5.63,-,-,-,-,2,-,-,-,31.0,93.5,-,1,-
0,"671Njegos PetrovicFK Crvena Zvezda, 22, DMC","Njegos Petrovic FK Crvena Zvezda, 22, DMC",3(2),301,1.6,0.4,1.4,-,0.4,1.4,0.2,-,5.95,-,-,0.2,-,0.4,-,0.4,0.4,20.4,76.5,-,0.6,-
1,"672Stanislav TeclSlavia Prague, 31, FW","Stanislav Tecl Slavia Prague, 31, FW",1(2),137,0.3,-,0.3,-,-,0.7,-,-,5.95,-,-,0.7,-,0.7,0.7,-,1.7,7.7,60.9,-,-,-
2,"673David OkerekeClub Bruges, 24, AM(CR),FW","David Okereke Club Bruges, 24, AM(CR),FW",2(2),173,0.5,-,0.3,-,-,0.5,-,-,5.93,-,-,2.8,0.3,0.5,-,1.5,1.3,10.0,80.0,-,0.5,-
3,"674Xherdan ShaqiriLiverpool, 30, M(CLR)","Xherdan Shaqiri Liverpool, 30, M(CLR)",0(1),3,-,-,-,-,-,-,-,-,5.92,-,-,-,-,-,-,-,-,4.0,100.0,-,-,-
4,"675Nico SchulzBorussia Dortmund, 29, D(L),M(L)","Nico Schulz Borussia Dortmund, 29, D(L),M(L)",3,226,-,0.3,0.7,-,0.3,1,-,-,5.91,-,-,1.3,0.3,0.7,-,0.3,1,40.0,89.2,0.3,0.3,-
5,"676Eliaquim MangalaValencia, 31, D(C)","Eliaquim Mangala Valencia, 31, D(C)",1(1),91,1,1,0.5,-,3,0.5,-,-,5.91,-,-,-,-,-,-,0.5,0.5,10.5,81.0,-,-,-
6,"677Takumi MinaminoLiverpool, 27, AM(CLR),FW","Takumi Minamino Liverpool, 27, AM(CLR),FW",0(1),7,-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,4.0,100.0,-,-,-
7,"678José CañasFK Crvena Zvezda, 35, DMC","José Cañas FK Crvena Zvezda, 35, DMC",4(1),314,0.8,0.8,0.2,-,0.6,2.4,-,-,5.89,-,-,0.2,-,1,-,0.4,1.2,27.4,90.5,-,0.6,-
8,"679Amine GouiriLyon, 22, AM(L),FW","Amine Gouiri Lyon, 22, AM(L),FW",0(1),7,-,-,1,-,-,-,-,-,5.89,-,-,-,-,-,-,-,-,1.0,100.0,-,-,-
9,"680David TavaresBenfica, 23, M(C)","David Tavares Benfica, 23, M(C)",0(1),23,-,-,-,-,-,-,-,-,5.89,-,-,-,-,-,-,1,-,9.0,100.0,-,-,-
0,"661Lovro MajerDinamo Zagreb, 24, AM(CR)","Lovro Majer Dinamo Zagreb, 24, AM(CR)",0(1),9,-,-,1,-,-,-,-,-,5.97,-,-,-,1,-,-,-,-,6.0,83.3,-,-,-
1,"662Marco AsensioReal Madrid, 26, AM(CLR)","Marco Asensio Real Madrid, 26, AM(CLR)",0(1),29,-,-,-,-,-,-,-,-,5.97,-,-,-,1,-,-,-,-,14.0,71.4,-,1,-
2,"663Mahmoud DahoudBorussia Dortmund, 26, M(C)","Mahmoud Dahoud Borussia Dortmund, 26, M(C)",0(2),28,-,0.5,1,-,-,0.5,-,-,5.97,-,-,-,-,-,-,-,1,11.0,95.5,-,-,-
3,"664Sener ÖzbayrakliGalatasaray, 32, D(R)","Sener Özbayrakli Galatasaray, 32, D(R)",0(2),19,-,-,-,-,-,-,-,-,5.97,-,-,-,-,-,-,-,-,6.5,92.3,-,-,-
4,"665Jacob Bruun LarsenBorussia Dortmund, 23, AM(CL)","Jacob Bruun Larsen Borussia Dortmund, 23, AM(CL)",0(2),19,-,-,-,-,-,-,-,-,5.96,-,-,-,-,-,-,-,-,1.5,100,-,-,-
5,"666Jacques François MoubandjeDinamo Zagreb, 31, D(CL),M(L)","Jacques François Moubandje Dinamo Zagreb, 31, D(CL),M(L)",1,90,3,1,2,-,2,1,-,-,5.96,-,-,-,1,-,-,1,1,24.0,70.8,-,1,-
6,"667Joshua ZirkzeeBayern, 21, FW","Joshua Zirkzee Bayern, 21, FW",0(1),4,-,-,-,-,-,1,-,-,5.96,-,-,-,-,-,-,-,-,1.0,-,-,-,-
7,"668Hugo LlorisTottenham, 35, GK","Hugo Lloris Tottenham, 35, GK",4,360,-,-,-,-,1,-,-,-,5.96,-,-,-,-,-,-,-,-,19.5,76.9,-,4.8,-
8,"669Mbaye DiagneClub Bruges, 30, FW","Mbaye Diagne Club Bruges, 30, FW",0(2),40,0.5,-,0.5,-,-,0.5,-,-,5.96,-,-,1,-,0.5,-,0.5,1,5.0,70,-,0.5,-
9,"670Marco OlivieriJuventus, 22, Forward","Marco Olivieri Juventus, 22, Forward",0(1),6,-,-,1,-,-,-,-,-,5.95,-,-,-,-,-,-,1,-,3.0,66.7,-,-,-
0,"651Malachi Fagan-WalcottTottenham, 20, Defender","Malachi Fagan-Walcott Tottenham, 20, Defender",0(1),1,1,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,3,100,-,-,-
1,"652Marcel SchmelzerBorussia Dortmund, 34, D(CL),M(L)","Marcel Schmelzer Borussia Dortmund, 34, D(CL),M(L)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2,"653Mario SitumDinamo Zagreb, 30, M(R)","Mario Situm Dinamo Zagreb, 30, M(R)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"654Simone MuratoreJuventus, 24, Midfielder","Simone Muratore Juventus, 24, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,-,-,-,-
4,"655Gedson FernandesBenfica, 23, M(CR)","Gedson Fernandes Benfica, 23, M(CR)",2,136,2.5,0.5,2,-,-,2.5,0.5,-,5.99,-,-,2,-,1,1,2,3,20,70,-,-,-
5,"656Loïs OpendaClub Bruges, 22, FW","Loïs Openda Club Bruges, 22, FW",1(3),138,0.3,0.3,0.5,-,-,0.3,-,-,5.99,-,-,0.5,-,1.3,0.5,0.3,1.3,6,87.5,0.5,-,-
6,"657Ross BarkleyChelsea, 28, M(CLR)","Ross Barkley Chelsea, 28, M(CLR)",2(1),161,-,0.3,0.3,-,0.3,0.3,-,-,5.99,-,-,1,0.7,1.3,-,1,0.7,12.7,76.3,-,1,-
7,"658Aleksandr ErokhinZenit, 32, M(CLR),FW","Aleksandr Erokhin Zenit, 32, M(CLR),FW",2(2),166,-,0.3,1.5,-,0.8,-,0.3,-,5.98,-,-,0.3,0.3,0.3,-,-,1,13.3,67.9,0.3,-,-
8,"659Leonardo BalerdiBorussia Dortmund, 23, D(C)","Leonardo Balerdi Borussia Dortmund, 23, D(C)",0(1),7,-,-,1,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,-,-,-,-,-
9,"660Ljubomir FejsaBenfica, 33, DMC","Ljubomir Fejsa Benfica, 33, DMC",2,150,2.5,1.5,1.5,-,0.5,0.5,0.5,-,5.98,-,-,-,-,1,-,0.5,0.5,38,81.6,-,1,-
0,"641Marin PongracicSalzburg, 24, D(C)","Marin Pongracic Salzburg, 24, D(C)",1,46,1,1,2,-,1,-,-,-,6.02,-,-,-,-,-,-,-,-,15,80,-,1,-
1,"642David OspinaNapoli, 33, GK","David Ospina Napoli, 33, GK",2,180,-,-,-,-,-,-,-,-,6.02,-,-,-,-,0.5,-,-,-,28,85.7,-,5,-
2,"643JanderFK Crvena Zvezda, 33, D(L)","Jander FK Crvena Zvezda, 33, D(L)",1(2),143,0.7,1.3,0.3,0.7,1.3,0.7,-,-,6.01,-,-,0.7,-,1.7,-,-,0.7,10,76.7,-,0.3,-
3,"644Aleksey SutorminZenit, 28, D(R),M(CLR),FW","Aleksey Sutormin Zenit, 28, D(R),M(CLR),FW",0(2),26,0.5,0.5,-,-,-,0.5,-,-,6.01,-,-,-,-,1,-,0.5,-,4,75,-,-,-
4,"645Alessandro FlorenziValencia, 31, D(R),M(CLR)","Alessandro Florenzi Valencia, 31, D(R),M(CLR)",0(1),11,-,1,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,-,10,100,-,-,-
5,"646NachoReal Madrid, 32, D(CLR)","Nacho Real Madrid, 32, D(CLR)",1,46,2,1,-,1,-,-,-,-,6.01,-,-,-,-,-,-,-,1,26,92.3,-,1,-
6,"647Rayan CherkiLyon, 18, AM(R)","Rayan Cherki Lyon, 18, AM(R)",0(2),33,1,-,-,-,-,0.5,-,-,6.01,-,-,0.5,0.5,0.5,0.5,1.5,1,4,100,-,-,-
7,"648DentinhoShakhtar, 33, Midfielder","Dentinho Shakhtar, 33, Midfielder",0(2),17,-,-,-,-,-,0.5,-,-,6.01,-,-,-,-,-,-,0.5,-,4,87.5,-,-,-
8,"649Danylo SikanShakhtar, 21, Forward","Danylo Sikan Shakhtar, 21, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,2,100,-,-,-
9,"650Erencan YardimciGalatasaray, 20, Forward","Erencan Yardimci Galatasaray, 20, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,1,-,1,2,-,-,-,-
0,"631Amin YounesNapoli, 28, AM(CL)","Amin Younes Napoli, 28, AM(CL)",0(1),5,-,-,-,-,1,-,-,-,6.04,-,-,-,-,-,-,-,-,2.0,100.0,-,-,-
1,"632Kyle Walker-PetersTottenham, 25, D(LR),M(R)","Kyle Walker-Peters Tottenham, 25, D(LR),M(R)",1,90,1,-,2,-,3,2,1,-,6.04,-,-,-,1,1,-,-,1,28.0,75.0,1,-,-
2,"633Aleksandr KolomeytsevLokomotiv Moscow, 33, M(CL),FW","Aleksandr Kolomeytsev Lokomotiv Moscow, 33, M(CL),FW",0(3),19,-,-,-,-,-,0.3,-,-,6.03,-,-,-,0.3,-,-,-,-,2.3,100.0,-,-,-
3,"634Casper de NorreGenk, 25, D(L),M(L)","Casper de Norre Genk, 25, D(L),M(L)",3,257,1,1.3,2.3,-,3,1.3,0.3,-,6.03,-,-,0.3,1.3,0.3,0.3,0.3,2,33.7,76.2,-,2,-
