,Pos,Club,Country,15/16,16/17,17/18,18/19,19/20,Pts,NA
0,1,BAY  FC Bayern München  Bayern,GER,29.000,22.000,29.000,20.000,36.000,136.0,14.956
1,2,RM  Real Madrid CF  Real Madrid,ESP,33.000,33.000,32.000,19.000,17.000,134.0,20.456
2,3,BAR  FC Barcelona  Barcelona,ESP,26.000,23.000,25.000,30.000,24.000,128.0,20.456
3,4,ATL  Club Atlético de Madrid  Atlético,ESP,28.000,29.000,28.000,20.000,22.000,127.0,20.456
4,5,JUV  Juventus  Juventus,ITA,18.000,33.000,23.000,21.000,22.000,117.0,14.13
5,6,MC  Manchester City FC  Man. City,ENG,26.000,18.000,22.000,25.000,25.000,116.0,18.092
6,7,PAR  Paris Saint-Germain  Paris,FRA,24.000,20.000,19.000,19.000,31.000,113.0,11.849
7,8,SEV  Sevilla FC  Sevilla,ESP,23.000,19.000,21.000,13.000,26.000,102.0,20.456
8,9,MU  Manchester United  Man. United,ENG,13.000,26.000,20.000,19.000,22.000,100.0,18.092
9,10,LIV  Liverpool FC  Liverpool,ENG,22.000,-,30.000,29.000,18.000,99.0,18.092
10,11,ARS  Arsenal FC  Arsenal,ENG,15.000,19.000,21.000,26.000,10.000,91.0,18.092
11,12,SHK  FC Shakhtar Donetsk  Shakhtar Donetsk,UKR,20.000,14.000,19.000,10.000,22.000,85.0,7.22
12,13,BVB  Borussia Dortmund  Dortmund,GER,17.000,22.000,10.000,18.000,18.000,85.0,14.956
13,14,TOT  Tottenham Hotspur  Tottenham,ENG,12.000,10.000,21.000,26.000,16.000,85.0,18.092
14,15,OL  Olympique Lyonnais  Lyon,FRA,7.000,22.000,14.000,17.000,23.000,83.0,11.849
15,16,CHE  Chelsea FC  Chelsea,ENG,18.000,-,18.000,30.000,17.000,83.0,18.092
16,17,ASR  AS Roma  Roma,ITA,14.000,13.000,25.000,17.000,11.000,80.0,14.13
17,18,NAP  SSC Napoli  Napoli,ITA,13.000,17.000,10.000,18.000,19.000,77.0,14.13
