,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"430Andreas PereiraMan Utd, 26, M(CLR)","Andreas Pereira Man Utd, 26, M(CLR)",597,0.5,0.7,0.8,0,0.5,0.7,0.1,6.26,1,1,0.5,0.6,0.3,0.1,0.9,0.6,23.5,82.4,0.2,0.8,0,"Andreas Pereira Man Utd, 26, M(CLR)",191.0,0.5,0.3,0,0,0.5,25.8,82.5,6.37,Andreas Pereira,Man Utd,22,MU  Manchester United  Man. United,M(CLR),19.000,78.0,1.0,2.0
1,"383Mousa DembéléTottenham, 34, M(CR)","Mousa Dembélé Tottenham, 34, M(CR)",516,1.3,0.7,1.2,0.1,0.5,0.3,0.1,6.38,0,0,0.1,0,0.3,0,0.7,0.9,30.8,89.6,0,0.4,0,"Mousa Dembélé Tottenham, 34, M(CR)",164.0,2,1,0,0,1,50.0,95.0,6.43,Mousa Dembélé,Tottenham,30,TOT  Tottenham Hotspur  Tottenham,M(CR),26.000,78.0,1.0,2.0
2,"384Eric BaillyMan Utd, 28, D(CR)","Eric Bailly Man Utd, 28, D(CR)",639,1.3,1.1,0.4,0.3,3.1,0.2,0.3,6.37,0,0,0.3,0,0.4,0,0.1,0.4,25.2,87.1,0,1.6,0,"Eric Bailly Man Utd, 28, D(CR)",306.0,1.3,1.3,0,0,0,29.5,87.3,6.62,Eric Bailly,Man Utd,24,MU  Manchester United  Man. United,D(CR),19.000,78.0,1.0,0.0
3,"370Daniel SturridgeLiverpool, 32, M(R),FW","Daniel Sturridge Liverpool, 32, M(R),FW",500,0.2,0.1,0.3,0,0,0.1,0,6.41,2,1,1,0.4,0.6,0.2,0.6,0.9,10.6,80.0,0.1,0.5,0.1,"Daniel Sturridge Liverpool, 32, M(R),FW",164.0,0,0.1,1,1,0.6,6.4,77.8,6.38,Daniel Sturridge,Liverpool,28,LIV  Liverpool FC  Liverpool,"M(R),FW",29.000,91.0,2.0,3.0
4,"333FredMan Utd, 29, M(C)","Fred Man Utd, 29, M(C)",1045,1.7,0.9,1.5,0.1,0.5,1.1,0.1,6.49,1,1,1,0.7,1.1,0.1,1.1,1.2,45.2,86.3,0.3,3.5,0.1,"Fred Man Utd, 29, M(C)",460.0,1.8,0.8,0,1,0.7,59.3,86.8,6.52,Fred,Man Utd,25,MU  Manchester United  Man. United,M(C),19.000,78.0,0.0,2.0
5,"335Fernando LlorenteTottenham, 37, FW","Fernando Llorente Tottenham, 37, FW",685,0.2,0.1,0.6,0,0.5,0.1,0.1,6.49,1,4,1.2,0.7,0.3,0.3,0.6,1.4,11.2,66.4,0,0.2,0,"Fernando Llorente Tottenham, 37, FW",235.0,0.2,0,2,1,0.4,9.4,55.3,6.73,Fernando Llorente,Tottenham,33,TOT  Tottenham Hotspur  Tottenham,FW,26.000,78.0,0.0,4.0
6,"338Scott McTominayMan Utd, 25, D(C),DMC","Scott McTominay Man Utd, 25, D(C),DMC",863,0.6,0.9,0.7,0,1.0,0.4,0.3,6.48,2,0,0.9,0.1,1.0,0.1,0.4,0.9,28.1,83.3,0,1.1,0,"Scott McTominay Man Utd, 25, D(C),DMC",270.0,3,1,0,0,0,32.3,90.7,6.79,Scott McTominay,Man Utd,21,MU  Manchester United  Man. United,"D(C),DMC",19.000,78.0,0.0,0.5
7,"312Adam LallanaLiverpool, 34, M(CLR)","Adam Lallana Liverpool, 34, M(CLR)",465,1.2,0.4,0.3,0,0.1,0.5,0.1,6.53,0,0,0.4,0.7,0.8,0,0.8,0.8,23.2,82.1,0.2,0.4,0,"Adam Lallana Liverpool, 34, M(CLR)",104.0,0,0.7,0,0,0.3,17.7,75.5,6.12,Adam Lallana,Liverpool,30,LIV  Liverpool FC  Liverpool,M(CLR),29.000,91.0,1.0,2.0
8,"315Victor WanyamaTottenham, 30, DMC","Victor Wanyama Tottenham, 30, DMC",513,1,0.5,0.8,0,0.7,0.5,0.2,6.53,1,0,0.5,0.2,0.5,0,0.3,0.6,25.1,81.0,0.1,0.1,0,"Victor Wanyama Tottenham, 30, DMC",293.0,1.2,0.7,0,0,0,20.8,76.8,6.13,Victor Wanyama,Tottenham,26,TOT  Tottenham Hotspur  Tottenham,DMC,26.000,78.0,0.0,1.0
9,"306Harry WinksTottenham, 26, DMC","Harry Winks Tottenham, 26, DMC",1592,0.8,0.8,0.6,0,0.7,1.0,0.1,6.55,1,0,0.3,0.3,0.6,0.1,0.8,0.6,53.4,91.8,0,2.2,0,"Harry Winks Tottenham, 26, DMC",676.0,1.6,0.7,0,0,0.9,47.8,90.4,6.64,Harry Winks,Tottenham,22,TOT  Tottenham Hotspur  Tottenham,DMC,26.000,78.0,0.0,1.0
10,"283Alexis SánchezMan Utd, 33, M(CLR),FW","Alexis Sánchez Man Utd, 33, M(CLR),FW",877,0.9,0.5,0.7,0,0.1,0.4,0,6.6,1,3,0.9,1.1,0.9,0.4,1.3,1.1,19.1,74.6,0.3,1.2,0.1,"Alexis Sánchez Man Utd, 33, M(CLR),FW",207.0,0.8,0.3,0,0,0.8,21.5,75.6,6.32,Alexis Sánchez,Man Utd,29,MU  Manchester United  Man. United,"M(CLR),FW",19.000,78.0,1.0,3.0
11,"284Jesse LingardMan Utd, 29, AM(CLR),FW","Jesse Lingard Man Utd, 29, AM(CLR),FW",1670,1.1,0.4,1.0,0,0.2,0.8,0.1,6.59,4,2,1.2,0.6,0.9,0.3,0.7,1.6,28.2,85.7,0.1,0.3,0.1,"Jesse Lingard Man Utd, 29, AM(CLR),FW",300.0,0.7,0,0,0,1.3,22.5,88.9,6.18,Jesse Lingard,Man Utd,25,MU  Manchester United  Man. United,"AM(CLR),FW",19.000,78.0,1.0,3.0
12,"256Gabriel JesusMan City, 25, AM(LR),FW","Gabriel Jesus Man City, 25, AM(LR),FW",1022,0.3,0.1,0.4,0,0.1,0.2,0.1,6.64,7,3,1.5,0.7,0.6,0.5,1.0,1.1,12.3,82.6,0,0.1,0,"Gabriel Jesus Man City, 25, AM(LR),FW",375.0,0.3,0.2,4,0,0.8,18.0,82.4,7.2,Gabriel Jesus,Man City,21,MC  Manchester City FC  Man. City,"AM(LR),FW",25.000,106.0,2.0,3.0
13,"259Diogo DalotMan Utd, 23, D(LR),M(R)","Diogo Dalot Man Utd, 23, D(LR),M(R)",1015,1.5,0.6,0.8,0.4,1.9,0.3,0.1,6.63,0,2,0.9,1.1,0.1,0.1,0.3,0.6,26.4,70.9,0.9,0.6,0,"Diogo Dalot Man Utd, 23, D(LR),M(R)",243.0,1,0.5,0,0,0.3,21.0,78.6,6.65,Diogo Dalot,Man Utd,19,MU  Manchester United  Man. United,"D(LR),M(R)",19.000,78.0,2.0,1.0
14,"234Jordan HendersonLiverpool, 31, D(C),M(CLR)","Jordan Henderson Liverpool, 31, D(C),M(CLR)",1983,1.4,0.9,0.8,0,0.4,0.7,0.1,6.67,1,3,0.5,0.5,0.4,0,0.3,0.7,54.4,87.2,0.2,3.3,0.1,"Jordan Henderson Liverpool, 31, D(C),M(CLR)",799.0,1.6,1.2,0,1,1.5,42.5,84.6,6.94,Jordan Henderson,Liverpool,27,LIV  Liverpool FC  Liverpool,"D(C),M(CLR)",29.000,91.0,0.5,1.0
15,"237Marouane FellainiMan Utd, 34, M(C)","Marouane Fellaini Man Utd, 34, M(C)",748,1.5,0.3,1.1,0.1,2.4,0.6,0.4,6.66,0,1,0.5,0.2,0.6,0.1,0.6,0.7,30.4,81.2,0.1,0.3,0,"Marouane Fellaini Man Utd, 34, M(C)",302.0,2.2,1,1,0,1.2,38.8,89.2,7.1,Marouane Fellaini,Man Utd,30,MU  Manchester United  Man. United,M(C),19.000,78.0,0.0,2.0
16,"223Ben DaviesTottenham, 29, D(CL),M(L)","Ben Davies Tottenham, 29, D(CL),M(L)",1839,2.1,0.9,0.7,0.3,2.3,0.6,0.4,6.69,0,0,0.5,0.6,0.5,0,0.4,0.7,40.2,82.8,0.3,1.2,0,"Ben Davies Tottenham, 29, D(CL),M(L)",567.0,0.9,1.1,0,1,1,35.6,81.3,6.63,Ben Davies,Tottenham,25,TOT  Tottenham Hotspur  Tottenham,"D(CL),M(L)",26.000,78.0,1.5,1.0
17,"227Antonio ValenciaMan Utd, 36, D(R),M(R)","Antonio Valencia Man Utd, 36, D(R),M(R)",466,1.3,0.8,1.2,0,1,0.2,0,6.68,0,0,0.3,1.2,0.7,0,0.2,0,45.2,84.1,0.8,1.8,0,"Antonio Valencia Man Utd, 36, D(R),M(R)",252.0,1,2.7,0,0,0.3,54.3,86.5,6.81,Antonio Valencia,Man Utd,32,MU  Manchester United  Man. United,"D(R),M(R)",19.000,78.0,2.0,1.0
