,posX,posY,Age,Mins,Tackles,Inter,KeyP,Goals,Assists,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,Rating,CurrentPts,Pts,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating
0,2.0,0.0,19,494,1.7,0.3,0.7,0,1,0.6,0.7,29.8,86.2,0.6,3.0,0.0,6.29,19.0,97.0,152.0,0.5,0.5,0,0,0.0,42.5,78.8,6.43
1,2.0,2.5,30,722,0.5,0.4,1.0,1,3,0.6,0.9,17.9,74.4,0.3,0.2,0.3,6.43,19.0,97.0,264.0,1.0,1.0,0,0,0.3,26.8,69.2,6.43
2,0.0,0.0,24,1167,1.4,0.7,0.3,0,1,0.4,0.6,35.4,90.0,0.1,1.4,0.1,6.55,19.0,97.0,171.0,1.0,0.5,0,0,0.0,26.5,84.9,5.84
3,0.0,0.0,30,847,1.0,0.8,0.1,0,0,0.4,0.1,31.1,89.4,0.0,1.7,0.0,6.58,17.0,47.0,90.0,1.0,1.0,0,0,0.0,62.0,91.9,6.32
4,1.0,0.5,28,920,1.5,0.9,0.7,0,1,0.9,0.5,47.8,91.3,0.1,2.4,0.0,6.6,30.0,119.0,140.0,0.5,2.5,0,0,0.5,40.5,88.9,6.96
5,1.0,2.0,30,1155,0.7,0.4,1.6,2,3,1.7,0.5,26.7,82.7,1.2,0.8,0.1,6.6,30.0,119.0,532.0,0.8,0.9,0,2,1.1,30.6,85.5,6.97
6,0.0,0.0,20,543,0.6,1.1,0.1,1,0,0.3,0.2,25.5,84.0,0.0,0.8,0.0,6.63,17.0,47.0,180.0,0.5,2.5,0,0,0.0,67.5,92.6,6.98
7,1.0,2.0,17,556,0.6,0.4,0.7,2,1,1.9,0.6,15.2,84.4,0.4,1.1,0.1,6.65,19.0,97.0,256.0,0.5,0.5,1,1,1.0,23.8,85.3,7.01
8,0.0,0.0,26,1830,0.8,1.7,0.1,0,0,0.0,0.3,52.0,89.2,0.0,2.3,0.0,6.67,19.0,97.0,450.0,1.2,2.4,0,0,0.2,52.6,87.1,7.08
9,0.0,4.0,23,1477,0.3,0.2,0.8,10,2,1.1,1.3,14.4,82.7,0.2,0.4,0.0,6.69,13.0,125.0,200.0,1.0,0.3,0,0,0.5,17.5,90.0,6.4
10,0.0,2.0,24,1327,1.6,1.5,0.4,0,0,0.7,0.6,49.5,90.2,0.0,3.7,0.1,6.7,30.0,119.0,695.0,2.0,1.8,0,0,0.3,37.3,89.0,6.94
11,0.0,1.0,19,951,2.3,2.1,0.4,0,0,0.6,0.2,41.1,89.5,0.0,3.1,0.0,6.72,30.0,119.0,257.0,4.0,5.3,0,0,0.7,62.7,94.7,7.79
12,2.0,2.0,31,901,0.8,1.1,0.7,4,1,0.7,0.8,21.5,81.1,0.0,0.3,0.2,6.72,19.0,97.0,196.0,2.3,1.7,1,0,1.3,27.3,76.8,7.19
13,0.0,2.0,26,1071,1.7,1.8,0.3,0,0,0.0,0.2,42.7,92.3,0.0,3.4,0.0,6.71,17.0,47.0,271.0,1.4,0.8,0,0,0.4,47.6,95.4,6.37
14,1.0,3.0,25,577,0.7,0.3,1.4,1,1,1.3,1.0,21.2,81.1,0.2,0.4,0.3,6.73,30.0,119.0,333.0,0.6,0.7,2,0,0.4,14.0,83.7,6.55
15,0.0,4.0,27,1904,1.1,0.3,1.0,6,4,1.9,2.2,17.8,74.1,0.3,0.3,0.1,6.76,30.0,119.0,636.0,0.6,0.6,3,4,1.5,15.3,70.6,7.32
