,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,"541Sead KolasinacArsenal, 28, D(CL),DMC,M(L)","Sead Kolasinac Arsenal, 28, D(CL),DMC,M(L)",1(1),91,-,2,1,-,0.5,-,-,-,5.72
1,"542Jonas LösslBrentford, 33, GK","Jonas Lössl Brentford, 33, GK",2,180,-,-,-,-,0.5,-,-,-,5.55
2,"543Jed SteerAston Villa, 29, GK","Jed Steer Aston Villa, 29, GK",1,90,-,-,-,-,-,-,-,-,5.46
0,"531Cenk TosunEverton, 30, FW","Cenk Tosun Everton, 30, FW",0(1),6,-,-,-,-,-,-,-,-,5.96
1,"532Jaden Philogene-BidaceAston Villa, 20, AM(L)","Jaden Philogene-Bidace Aston Villa, 20, AM(L)",0(1),4,-,-,-,-,-,-,-,-,5.95
2,"533Folarin BalogunArsenal, 20, FW","Folarin Balogun Arsenal, 20, FW",1(1),70,0.5,-,-,-,0.5,-,-,-,5.95
3,"534Morgan Gibbs-WhiteWolves, 22, AM(CR),FW","Morgan Gibbs-White Wolves, 22, AM(CR),FW",0(2),7,-,-,1,-,-,-,-,-,5.94
4,"535Evan FergusonBrighton, 17, Forward","Evan Ferguson Brighton, 17, Forward",0(1),22,-,-,-,-,-,-,-,-,5.93
5,"536Keinan DavisAston Villa, 24, FW","Keinan Davis Aston Villa, 24, FW",0(1),11,-,-,-,-,-,-,-,-,5.92
6,"537Liam McCarronLeeds, 21, Midfielder","Liam McCarron Leeds, 21, Midfielder",0(1),9,-,-,-,-,-,-,-,-,5.91
7,"538Lewis BateLeeds, 19, Midfielder","Lewis Bate Leeds, 19, Midfielder",1(2),147,0.3,0.3,1,-,0.3,2.7,-,-,5.82
8,"539Freddie WoodmanNewcastle, 25, GK","Freddie Woodman Newcastle, 25, GK",4,360,-,-,-,-,-,-,-,-,5.81
9,"540Hannibal MejbriMan Utd, 19, Midfielder","Hannibal Mejbri Man Utd, 19, Midfielder",0(1),6,-,-,1,-,-,-,-,-,5.73
0,"521Alex KrálWest Ham, 24, DMC","Alex Král West Ham, 24, DMC",0(1),1,-,-,-,-,-,-,-,-,6
1,"522Daniel ChestersWest Ham, 20, Midfielder","Daniel Chesters West Ham, 20, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6
2,"523Hélder CostaLeeds, 28, AM(CLR)","Hélder Costa Leeds, 28, AM(CLR)",0(1),20,-,-,1,-,-,-,-,-,6
3,"524Moise KeanEverton, 22, AM(L),FW","Moise Kean Everton, 22, AM(L),FW",0(1),1,-,-,-,-,-,-,-,-,6
